url,id,label_it,level
https://w3id.org/italia/social-security/controlled-vocabulary/domesticWorkServices/tipo_contratto/ND,ND,Non definito,
https://w3id.org/italia/social-security/controlled-vocabulary/domesticWorkServices/tipo_contratto/TDE,TDE,Tempo determinato,
https://w3id.org/italia/social-security/controlled-vocabulary/domesticWorkServices/tipo_contratto/TDS,TDS,Tempo determinato in sostituzione,
https://w3id.org/italia/social-security/controlled-vocabulary/domesticWorkServices/tipo_contratto/TIN,TIN,Tempo indeterminato,
