url,label_it,level,id.@language,id.@value
https://w3id.org/italia/social-security/controlled-vocabulary/CUStatement/indennita_equipollenti_altre_indennita/A,se si tratta di anticipazione;,,it,A
https://w3id.org/italia/social-security/controlled-vocabulary/CUStatement/indennita_equipollenti_altre_indennita/B,se si tratta di saldo;,,it,B
https://w3id.org/italia/social-security/controlled-vocabulary/CUStatement/indennita_equipollenti_altre_indennita/C,se si tratta di acconto;,,it,C
https://w3id.org/italia/social-security/controlled-vocabulary/CUStatement/indennita_equipollenti_altre_indennita/M,"se si tratta di saldo corrisposto in due ovvero in tre rate annuali ai sensi dell’articolo 12, comma 7 del D.L. 31 maggio 2010, n. 78",,it,M
